tankID,companyID,Owner,tankLocation,latitude,longitude,facility,manufacturer,unitPrice,status,comments
T_000001,C_000001,ABC Corporation ,Austin,30.2672,-97.7431,Warehouse,TankPro Co.,45000,RUNNING,Initial installation
T_000002,C_000002,XYZ Industries ,Chicago,41.8781,-87.6298,Factory,TankWorks Inc.,55000,RUNNING,Upgrade required
T_000003,C_000003,Smith Manufacturing ,New York,40.7128,-74.006,Processing Plant,TankTech Ltd.,60000,STOPPED,Routine maintenance
T_000004,C_000004,Johnson Enterprises ,Los Angeles,34.0522,-118.2437,Storage Facility,TankMasters Corp.,48000,RUNNING,New installation
T_000005,C_000005,Green Solutions ,Houston,29.7604,-95.3698,Refinery,TankGenius LLC,52000,RUNNING,Safety inspection due
T_000006,C_000006,Miller & Sons ,Phoenix,33.4484,-112.074,Warehouse,TankPro Co.,54000,OUT-OF-ORDER,Compliance audit pending
T_000007,C_000007,Brown Enterprises ,Philadelphia,39.9526,-75.1652,Factory,TankWorks Inc.,57000,RUNNING,Structural analysis required
T_000008,C_000008,Taylor Manufacturing ,San Antonio,29.4241,-98.4936,Processing Plant,TankTech Ltd.,59000,RUNNING,Routine inspection scheduled
T_000009,C_000009,Wilson Corporation ,San Diego,32.7157,-117.1611,Storage Facility,TankMasters Corp.,61000,RUNNING,Upgrade recommended
T_000010,C_000010,Johnson & Sons ,Dallas,32.7767,-96.797,Refinery,TankGenius LLC,47000,RUNNING,Safety check overdue
T_000011,C_000011,Martinez Solutions ,San Jose,37.3382,-121.8863,Warehouse,TankPro Co.,53000,OUT-OF-ORDER,Annual maintenance due
T_000012,C_000012,Davis Enterprises ,Austin,30.2672,-97.7431,Factory,TankWorks Inc.,56000,STOPPED,Pressure test required
T_000013,C_000013,Brown & Sons ,Chicago,41.8781,-87.6298,Processing Plant,TankTech Ltd.,59000,RUNNING,Regulatory compliance pending
T_000014,C_000014,Lee Manufacturing ,New York,40.7128,-74.006,Storage Facility,TankMasters Corp.,62000,RUNNING,Structural integrity review
T_000015,C_000015,Garcia Corporation ,Los Angeles,34.0522,-118.2437,Refinery,TankGenius LLC,51000,OUT-OF-ORDER,Leak detection required
T_000016,C_000016,Rodriguez Solutions ,Houston,29.7604,-95.3698,Warehouse,TankPro Co.,53000,RUNNING,Annual inspection due
T_000017,C_000017,Hernandez Enterprises ,Phoenix,33.4484,-112.074,Factory,TankWorks Inc.,58000,OUT-OF-ORDER,Compliance review overdue
T_000018,C_000018,Young Manufacturing ,Philadelphia,39.9526,-75.1652,Processing Plant,TankTech Ltd.,60000,RUNNING,Safety assessment required
T_000019,C_000019,King & Sons ,San Antonio,29.4241,-98.4936,Storage Facility,TankMasters Corp.,62000,STOPPED,Structural analysis recommended
T_000020,C_000020,Wright Corporation ,San Diego,32.7157,-117.1611,Refinery,TankGenius LLC,48000,RUNNING,Leak test pending
T_000021,C_000021,Clark Solutions ,Dallas,32.7767,-96.797,Warehouse,TankPro Co.,55000,RUNNING,Compliance audit scheduled
T_000022,C_000022,Walker Enterprises ,San Jose,37.3382,-121.8863,Factory,TankWorks Inc.,57000,RUNNING,Structural integrity check overdue
T_000023,C_000023,Baker Manufacturing ,Austin,30.2672,-97.7431,Processing Plant,TankTech Ltd.,59000,OUT-OF-ORDER,Pressure test recommended
T_000024,C_000024,Cook Corporation ,Chicago,41.8781,-87.6298,Storage Facility,TankMasters Corp.,61000,RUNNING,Regulatory compliance due
T_000025,C_000025,Allen & Sons ,New York,40.7128,-74.006,Refinery,TankGenius LLC,52000,RUNNING,Structural integrity review pending
T_000026,C_000026,Torres Solutions ,Los Angeles,34.0522,-118.2437,Warehouse,TankPro Co.,54000,STOPPED,Annual inspection overdue
T_000027,C_000027,Scott Enterprises ,Houston,29.7604,-95.3698,Factory,TankWorks Inc.,57000,RUNNING,Compliance review pending
T_000028,C_000028,Perez Manufacturing ,Phoenix,33.4484,-112.074,Processing Plant,TankTech Ltd.,59000,OUT-OF-ORDER,Safety assessment required
T_000029,C_000029,Martin Corporation ,Philadelphia,39.9526,-75.1652,Storage Facility,TankMasters Corp.,61000,RUNNING,Structural analysis recommended
T_000030,C_000030,Young & Sons ,San Antonio,29.4241,-98.4936,Refinery,TankGenius LLC,63000,OUT-OF-ORDER,Leak test pending
T_000031,C_000001,ABC Corporation ,Austin,30.2672,-97.7431,Warehouse,TankPro Co.,48000,RUNNING,Initial installation
T_000032,C_000002,XYZ Industries ,Chicago,41.8781,-87.6298,Factory,TankWorks Inc.,56000,RUNNING,Upgrade required
T_000033,C_000003,Smith Manufacturing ,New York,40.7128,-74.006,Processing Plant,TankTech Ltd.,61000,RUNNING,Routine maintenance
T_000034,C_000004,Johnson Enterprises ,Los Angeles,34.0522,-118.2437,Storage Facility,TankMasters Corp.,49000,STOPPED,New installation
T_000035,C_000005,Green Solutions ,Houston,29.7604,-95.3698,Refinery,TankGenius LLC,53000,RUNNING,Safety inspection due
T_000036,C_000006,Miller & Sons ,Phoenix,33.4484,-112.074,Warehouse,TankPro Co.,55000,OUT-OF-ORDER,Compliance audit pending
T_000037,C_000007,Brown Enterprises ,Philadelphia,39.9526,-75.1652,Factory,TankWorks Inc.,58000,RUNNING,Structural analysis required
T_000038,C_000008,Taylor Manufacturing ,San Antonio,29.4241,-98.4936,Processing Plant,TankTech Ltd.,60000,RUNNING,Routine inspection scheduled
T_000039,C_000009,Wilson Corporation ,San Diego,32.7157,-117.1611,Storage Facility,TankMasters Corp.,62000,RUNNING,Upgrade recommended
T_000040,C_000010,Johnson & Sons ,Dallas,32.7767,-96.797,Refinery,TankGenius LLC,48000,OUT-OF-ORDER,Safety check overdue
T_000041,C_000011,Martinez Solutions ,San Jose,37.3382,-121.8863,Warehouse,TankPro Co.,54000,RUNNING,Annual maintenance due
T_000042,C_000012,Davis Enterprises ,Austin,30.2672,-97.7431,Factory,TankWorks Inc.,57000,RUNNING,Pressure test required
T_000043,C_000013,Brown & Sons ,Chicago,41.8781,-87.6298,Processing Plant,TankTech Ltd.,60000,RUNNING,Regulatory compliance pending
T_000044,C_000014,Lee Manufacturing ,New York,40.7128,-74.006,Storage Facility,TankMasters Corp.,63000,STOPPED,Structural integrity review
T_000045,C_000015,Garcia Corporation ,Los Angeles,34.0522,-118.2437,Refinery,TankGenius LLC,52000,RUNNING,Leak detection required
T_000046,C_000016,Rodriguez Solutions ,Houston,29.7604,-95.3698,Warehouse,TankPro Co.,54000,OUT-OF-ORDER,Annual inspection due
T_000047,C_000017,Hernandez Enterprises ,Phoenix,33.4484,-112.074,Factory,TankWorks Inc.,59000,RUNNING,Compliance review overdue
T_000048,C_000018,Young Manufacturing ,Philadelphia,39.9526,-75.1652,Processing Plant,TankTech Ltd.,61000,RUNNING,Safety assessment required
T_000049,C_000019,King & Sons ,San Antonio,29.4241,-98.4936,Storage Facility,TankMasters Corp.,63000,STOPPED,Structural analysis recommended
T_000050,C_000020,Wright Corporation ,San Diego,32.7157,-117.1611,Refinery,TankGenius LLC,49000,RUNNING,Leak test pending
T_000051,C_000021,Clark Solutions ,Dallas,32.7767,-96.797,Warehouse,TankPro Co.,56000,OUT-OF-ORDER,Compliance audit scheduled
T_000052,C_000022,Walker Enterprises ,San Jose,37.3382,-121.8863,Factory,TankWorks Inc.,58000,RUNNING,Structural integrity check overdue
T_000053,C_000023,Baker Manufacturing ,Austin,30.2672,-97.7431,Processing Plant,TankTech Ltd.,60000,RUNNING,Pressure test recommended
T_000054,C_000024,Cook Corporation ,Chicago,41.8781,-87.6298,Storage Facility,TankMasters Corp.,62000,OUT-OF-ORDER,Regulatory compliance due
T_000055,C_000025,Allen & Sons ,New York,40.7128,-74.006,Refinery,TankGenius LLC,53000,RUNNING,Structural integrity review pending
T_000056,C_000026,Torres Solutions ,Los Angeles,34.0522,-118.2437,Warehouse,TankPro Co.,55000,RUNNING,Annual inspection overdue
T_000057,C_000027,Scott Enterprises ,Houston,29.7604,-95.3698,Factory,TankWorks Inc.,58000,RUNNING,Compliance review pending
T_000058,C_000028,Perez Manufacturing ,Phoenix,33.4484,-112.074,Processing Plant,TankTech Ltd.,60000,RUNNING,Safety assessment required
T_000059,C_000029,Martin Corporation ,Philadelphia,39.9526,-75.1652,Storage Facility,TankMasters Corp.,62000,STOPPED,Structural analysis recommended
T_000060,C_000030,Young & Sons ,San Antonio,29.4241,-98.4936,Refinery,TankGenius LLC,64000,RUNNING,Leak test pending
T_000061,C_000001,ABC Corporation ,Austin,30.2672,-97.7431,Warehouse,TankPro Co.,51000,OUT-OF-ORDER,Initial installation
T_000062,C_000002,XYZ Industries ,Chicago,41.8781,-87.6298,Factory,TankWorks Inc.,58000,RUNNING,Upgrade required
T_000063,C_000003,Smith Manufacturing ,New York,40.7128,-74.006,Processing Plant,TankTech Ltd.,63000,STOPPED,Routine maintenance
T_000064,C_000004,Johnson Enterprises ,Los Angeles,34.0522,-118.2437,Storage Facility,TankMasters Corp.,50000,RUNNING,New installation
T_000065,C_000005,Green Solutions ,Houston,29.7604,-95.3698,Refinery,TankGenius LLC,54000,RUNNING,Safety inspection due
T_000066,C_000006,Miller & Sons ,Phoenix,33.4484,-112.074,Warehouse,TankPro Co.,56000,RUNNING,Compliance audit pending
T_000067,C_000007,Brown Enterprises ,Philadelphia,39.9526,-75.1652,Factory,TankWorks Inc.,59000,RUNNING,Structural analysis required
T_000068,C_000008,Taylor Manufacturing ,San Antonio,29.4241,-98.4936,Processing Plant,TankTech Ltd.,61000,OUT-OF-ORDER,Routine inspection scheduled
T_000069,C_000009,Wilson Corporation ,San Diego,32.7157,-117.1611,Storage Facility,TankMasters Corp.,63000,RUNNING,Upgrade recommended
T_000070,C_000010,Johnson & Sons ,Dallas,32.7767,-96.797,Refinery,TankGenius LLC,49000,RUNNING,Safety check overdue
T_000071,C_000011,Martinez Solutions ,San Jose,37.3382,-121.8863,Warehouse,TankPro Co.,55000,STOPPED,Annual maintenance due
T_000072,C_000012,Davis Enterprises ,Austin,30.2672,-97.7431,Factory,TankWorks Inc.,58000,RUNNING,Pressure test required
T_000073,C_000013,Brown & Sons ,Chicago,41.8781,-87.6298,Processing Plant,TankTech Ltd.,61000,RUNNING,Regulatory compliance pending
T_000074,C_000014,Lee Manufacturing ,New York,40.7128,-74.006,Storage Facility,TankMasters Corp.,64000,RUNNING,Structural integrity review
T_000075,C_000015,Garcia Corporation ,Los Angeles,34.0522,-118.2437,Refinery,TankGenius LLC,53000,RUNNING,Leak detection required
T_000076,C_000016,Rodriguez Solutions ,Houston,29.7604,-95.3698,Warehouse,TankPro Co.,55000,OUT-OF-ORDER,Annual inspection due
T_000077,C_000017,Hernandez Enterprises ,Phoenix,33.4484,-112.074,Factory,TankWorks Inc.,60000,RUNNING,Compliance review overdue
T_000078,C_000018,Young Manufacturing ,Philadelphia,39.9526,-75.1652,Processing Plant,TankTech Ltd.,62000,RUNNING,Safety assessment required
T_000079,C_000019,King & Sons ,San Antonio,29.4241,-98.4936,Storage Facility,TankMasters Corp.,64000,RUNNING,Structural analysis recommended
T_000080,C_000020,Wright Corporation ,San Diego,32.7157,-117.1611,Refinery,TankGenius LLC,50000,STOPPED,Leak test pending
T_000081,C_000021,Clark Solutions ,Dallas,32.7767,-96.797,Warehouse,TankPro Co.,57000,RUNNING,Compliance audit scheduled
T_000082,C_000022,Walker Enterprises ,San Jose,37.3382,-121.8863,Factory,TankWorks Inc.,59000,RUNNING,Structural integrity check overdue
T_000083,C_000023,Baker Manufacturing ,Austin,30.2672,-97.7431,Processing Plant,TankTech Ltd.,61000,OUT-OF-ORDER,Pressure test recommended
T_000084,C_000024,Cook Corporation ,Chicago,41.8781,-87.6298,Storage Facility,TankMasters Corp.,63000,RUNNING,Regulatory compliance due
T_000085,C_000025,Allen & Sons ,New York,40.7128,-74.006,Refinery,TankGenius LLC,54000,RUNNING,Structural integrity review pending
T_000086,C_000026,Torres Solutions ,Los Angeles,34.0522,-118.2437,Warehouse,TankPro Co.,56000,STOPPED,Annual inspection overdue
T_000087,C_000027,Scott Enterprises ,Houston,29.7604,-95.3698,Factory,TankWorks Inc.,59000,RUNNING,Compliance review pending
T_000088,C_000028,Perez Manufacturing ,Phoenix,33.4484,-112.074,Processing Plant,TankTech Ltd.,61000,RUNNING,Safety assessment required
T_000089,C_000029,Martin Corporation ,Philadelphia,39.9526,-75.1652,Storage Facility,TankMasters Corp.,63000,STOPPED,Structural analysis recommended
T_000090,C_000030,Young & Sons ,San Antonio,29.4241,-98.4936,Refinery,TankGenius LLC,65000,RUNNING,Leak test pending
T_000091,C_000001,ABC Corporation ,Austin,30.2672,-97.7431,Warehouse,TankPro Co.,52000,RUNNING,Initial installation
T_000092,C_000002,XYZ Industries ,Chicago,41.8781,-87.6298,Factory,TankWorks Inc.,59000,OUT-OF-ORDER,Upgrade required
T_000093,C_000003,Smith Manufacturing ,New York,40.7128,-74.006,Processing Plant,TankTech Ltd.,64000,RUNNING,Routine maintenance
T_000094,C_000004,Johnson Enterprises ,Los Angeles,34.0522,-118.2437,Storage Facility,TankMasters Corp.,51000,RUNNING,New installation
T_000095,C_000005,Green Solutions ,Houston,29.7604,-95.3698,Refinery,TankGenius LLC,55000,OUT-OF-ORDER,Safety inspection due
T_000096,C_000006,Miller & Sons ,Phoenix,33.4484,-112.074,Warehouse,TankPro Co.,57000,STOPPED,Compliance audit pending
T_000097,C_000007,Brown Enterprises ,Philadelphia,39.9526,-75.1652,Factory,TankWorks Inc.,60000,RUNNING,Structural analysis required
T_000098,C_000008,Taylor Manufacturing ,San Antonio,29.4241,-98.4936,Processing Plant,TankTech Ltd.,62000,RUNNING,Routine inspection scheduled
T_000099,C_000009,Wilson Corporation ,San Diego,32.7157,-117.1611,Storage Facility,TankMasters Corp.,64000,RUNNING,Upgrade recommended
T_000100,C_000010,Johnson & Sons ,Dallas,32.7767,-96.797,Refinery,TankGenius LLC,50000,RUNNING,Safety check overdue
